X,Y,Price per sqm
27.6423,53.9201,23.09
27.5745,53.9202,18.03125
27.4674,53.9399,17.96666667
27.4733,53.9379,33.95098039
27.5325,53.9068,34.45771144
27.5865,53.9436,25.29179811
27.4614,53.9428,33.15646259
27.5634,53.9149,15
27.5909,53.9398,29.15454545
27.5505,53.9217,21.93162393
27.552,53.8975,33.31168831
27.5677,53.9111,21.38333333
27.5786,53.914,28.81538462
27.434108,53.904128,15.03448276
27.5482,53.8846,15.30456853
27.6038,53.9554,13.37057728
27.621,53.933,17.21822542
27.4208,53.9057,10.02298851
27.6377,53.9237,25.58325025
27.5634,53.9149,25.00974659
27.5325,53.9068,59.2
27.584699,53.937409,17.10526316
27.6073,53.924,47.65714286
27.603309,53.924854,21.81
27.5575,53.9013,47.03333333
27.4913,53.9383,33.3964497
27.5532,53.8957,38.86363636
27.522558,53.887499,17.57407407
27.584316,53.909816,28.96774194
27.4752,53.8975,25.56478405
27.5402,53.9119,25.66
27.4745,53.9126,18.33333333
27.68808,53.946843,18.05555556
27.5654,53.9195,19.234375
27.560384,53.90084,20.85
27.5261,53.9124,28.75862069
27.6887,53.9452,15.70748299
27.5844,53.9489,15.55151515
28.5129,54.2244,17.25454545
27.642537,53.933551,22.3968254
27.4864,53.8679,23.31818182
27.5843,53.9361,23.67692308
27.655047,53.932503,27.67567568
27.5543,53.9204,25.0591716
27.5196,53.8892,24.55319149
27.584043,53.904741,35.21229868
27.641882,53.919828,31.21698113
27.610663,53.927427,25.65909091
27.5331,53.914,16.30508475
27.6762,53.9554,14.9882904
27.4308,53.906,21.66666667
27.5532,53.8957,45.98113208
27.6916,53.9473,17.46196958
27.569578,53.922882,35.63888889
27.486948,53.929945,13.97029703
27.6091,53.8641,10.46938776
27.5603,53.9002,38.23003576
27.651752,53.937138,12.22222222
27.678,54.0144,18.85294118
27.4518,53.8995,14.47142857
27.5667,53.9019,31.50877193
27.5793,53.9113,23.73289407
27.4369,53.9055,24.046875
27.6966,53.9261,19.37777778
27.428436,53.908265,20.525
27.4685,53.9393,23.31818182
27.5813,53.9432,28.51111111
27.4733,53.8503,25.36263736
27.5838,53.9356,16.94339623
27.4733,53.9286,14.33823529
27.5434,53.8709,31.29268293
27.5455,53.9271,20.94142259
27.6511,53.9282,24.50292398
27.4436,53.9087,15.48275862
27.4431,53.8567,11.34615385
27.6661,53.9524,18.68852459
27.466816,53.940882,17.72020725
27.6027,53.9419,16.05382569
27.6762,53.9554,20.88372093
27.4923,53.9193,14.95726496
27.550172,53.870883,25.08695652
27.5161,53.8862,26.8
27.7256,53.9418,13.2962963
27.529,53.9052,33.09988942
27.4892,53.911,29.93333333
27.6078,53.8555,9.058823529
27.4688,53.9003,14.63157895
27.5633,53.8904,26.81818182
27.6015,53.862,16.64912281
27.5844,53.9155,26.18367347
27.652112,53.935935,14.96666667
27.6268,53.8671,18.33333333
27.516727,53.908962,16.73913043
27.495,53.8778,28.5
27.4897,53.9128,26.48387097
27.555702,53.912574,41.66666667
27.6048,53.923,36.0625
27.488805,53.869504,19.95555556
27.5224,53.8967,9.37037037
27.4926,53.9053,8.173913043
23.8489,53.7102,11.62790698
28.2954,54.091,15.15151515
30.996,52.4398,16.77852349
27.713682,53.985488,11.4
23.8543,53.6462,11.93023256
23.8357,53.6498,11.65909091
27.6438,53.9577,14.5325779
27.673914,53.984974,11.52808989
27.6732,53.8742,15.54545455
27.6981,53.8418,15.54545455
27.6105,53.8758,13.5
27.620039,53.873344,17.05452128
27.7051,53.8445,15.54545455
27.6479,53.8366,11.76605505
27.6305,53.8692,16.03125
27.633,53.8722,17.44897959
27.5906,53.8843,14.25
27.5906,53.8843,13.86486486
27.592,53.8607,15.54545455
27.4748,53.8658,15.08823529
27.5179,53.8909,14.65714286
27.5179,53.8909,14.25
27.4606,53.8661,15.68327729
27.5998,53.904,17.1
27.6895,53.9513,14.25
27.6357,53.9421,15.68807339
27.6757,53.9493,14.25
27.6757,53.9493,14.25
27.604,53.9536,14.65714286
27.4385,53.904,13.86486486
31.024145,52.447165,10.46938776
31.0127,52.4327,16.03125
31.0069,52.4359,13.81632103
30.2067,55.1981,8.55
30.22919,55.195164,17.1
30.2343,55.196,11.4
30.2352,55.184,13.5
30.235,55.1912,13.08673469
30.232,55.196,11.4
30.234,55.1595,11.4
30.2621,55.1723,13.79032258
30.2113,55.1697,12.825
23.708023,52.092702,12.825
23.7059,52.0697,11.15217391
23.781127,52.101682,9.865384615
23.760305,52.09299,11.65909091
23.802714,53.707883,16.03125
23.8561,53.7082,12.825
30.3373,53.899,14.65714286
30.3572,53.8802,13.5
30.3284,53.8706,9.327272727
30.235,55.1912,13
27.684,53.8646,16.33333333
27.6126,53.8824,16.33333333
27.444,53.9249,13.475
27.4418,53.9166,13.475
30.2144,55.1811,17.38709677
30.2315,55.1972,13.14634146
31.0259,52.4508,15.40184822
30.2419,55.1709,14.47368421
27.7617,53.9632,12.53333333
27.4599,53.7966,13.42857143
27.611082,53.877757,16.58823529
27.5785,53.8391,13.89162562
27.4431,53.8601,14.1
27.4826,53.8443,13.17757009
27.5046,53.8503,16.11428571
27.5561,53.8844,17.03927492
27.5793,53.909,14.84210526
27.5998,53.904,17.09090909
27.6351,53.9388,17.09090909
30.2078,55.198,12.53333333
30.2367,55.1935,17.09090909
30.3305,53.8953,18.07692308
27.909263,53.878102,13.11111111
27.6796,53.9971,13.31828442
27.6562,53.8697,13.88235294
27.5633,53.8672,14.42542787
27.5367,53.8732,17.87878788
27.6731,53.9104,18.91025641
27.6524,53.8895,15.52631579
27.7131,53.9432,15.94594595
27.696315,53.951405,15.12820513
27.6837,53.942,17.87878788
27.5824,53.9265,19.03225806
27.622458,53.959773,17.87878788
27.436099,53.902138,17.87878788
27.4355,53.8805,13.11111111
27.452,53.8959,17.87878788
27.5538,53.9289,19.03225806
27.6795,54.0129,16
23.835736,53.649775,12
30.2425,55.1757,15.38461538
30.338004,53.897493,8.571428571
27.5409,53.9008,19.4516129
30.2031,55.1816,16.75
27.6889,53.8701,17.6
27.6729,53.8663,18.66666667
27.666,53.8673,19.87096774
27.4746,53.8533,15.64643129
27.4594,53.847255,16.64864865
27.4589,53.846,14.66666667
27.5916,53.8966,18.66666667
27.6958,53.942,18.66666667
27.581292,53.928409,18.66666667
27.4256,53.9161,15.02439024
27.4511,53.8961,18.66666667
27.4405,53.8814,16.33952255
27.5425,53.9288,19.55555556
30.3372,53.9093,19.25
27.6795,54.0109,15.725
27.6204,53.9304,21.76470588
27.6832,54.0122,16.63585952
27.4201,53.9096,18.25714286
27.6795,54.0129,16.025
27.6814,54.0109,16.86842105
27.678,54.0144,18.85294118
27.519,53.824,13.93478261
27.677979,54.014315,16.025
27.6806,53.8878,16.86842105
27.6105,53.8758,17.80555556
27.616042,53.876596,18.85294118
27.562208,53.849594,17.13903743
27.566,53.8835,20.74433657
27.5769,53.8365,16.025
27.5955,53.8864,16.86842105
27.5652,53.8454,16.025
27.5224,53.8967,21.43812709
27.4434,53.8544,18.85294118
27.511,53.8906,18.31428571
27.4345,53.8581,15.26190476
27.4743,53.8795,16.35204082
27.5486,53.8798,19.40072639
27.7027,53.9453,14.24444444
27.6685,53.948,17.32432432
27.6685,53.948,17.32432432
27.682,53.9359,18.31428571
27.6003,53.9362,20.67741935
27.6038,53.9554,11.93668529
27.5996,53.9326,14.40449438
27.6183,53.9538,16.86842105
27.6163,53.9592,20.03125
27.500638,53.90727,18.85294118
27.4795,53.9207,18.31428571
27.4795,53.9207,18.31428571
27.4177,53.9139,15.26190476
27.445,53.8783,13.35416667
27.4924,53.9164,19.42424242
27.4402,53.9165,15.63414634
27.4464,53.9086,16.86842105
27.4769,53.9068,16.86842105
27.4431,53.9059,15.63414634
27.503,53.925,19.34802294
27.4531,53.8947,15.08235294
27.5637,53.9292,18.31428571
27.5637,53.9292,15.26190476
27.5637,53.9292,17.32432432
27.5637,53.9292,16.86842105
27.5528,53.9319,16.86842105
27.5572,53.9258,21.36666667
27.536,53.9141,19.42424242
31.002217,52.417592,9.567164179
30.220393,55.20672,16.31043257
30.2352,55.184,13.35416667
23.7059,52.0697,14.24444444
30.326702,53.902215,21.36666667
30.322,53.8799,17.80555556
27.6533,53.8891,17.1957672
27.6984,53.9277,15.22248244
31.025,52.4494,17.56756757
27.6424,53.8703,15.50677254
27.6831,54.0108,16.26829268
27.6795,54.0129,16.26829268
27.6772,53.9539,15.51162791
27.4496,53.7991,15.43981481
27.6728,53.962,18.02702703
27.683287,54.007258,16.38820639
27.6034,53.8796,20.21212121
27.5247,53.8939,21.51612903
27.452,53.9235,16.675
27.4519,53.9222,16.675
27.4514,53.9229,15.15909091
27.4504,53.8972,18.02702703
27.4958,53.9149,20.33536585
27.5033,53.9308,18.07588076
23.843318,53.675706,10.30769231
27.4827,53.8735,16.19047619
31.018288,52.451095,13.8
27.6795,54.0129,14.14285714
27.4602,53.7964,17.325
27.430165,53.955612,16.2295082
27.319879,53.739258,17.325
27.6169,53.8746,21.72413793
27.6799,53.8752,14.90322581
27.5673,53.8376,17.325
27.5671,53.8836,22.42718447
27.5644,53.8631,17.325
27.5604,53.8466,15.06521739
27.6131,53.8875,23.1
27.581,53.8973,17.325
27.7188,53.9482,21
27.6904,53.9401,21.19266055
27.6866,53.9335,19.8
27.6966,53.9426,19.25
27.6049,53.96,20.93655589
27.5927,53.9087,24.23076923
27.443581,53.877627,15.75
27.4386,53.9292,18.23684211
27.4757,53.8955,15.4
27.4974,53.9184,20.38235294
27.4605,53.9208,17.325
30.2082,55.2039,17.325
27.583,53.9235,21.21212121
30.224,55.174,14
27.554,53.9018,28.4
27.4378,53.9173,15.88888889
27.6795,54.0129,19.14666667
27.6795,54.0129,18.89473684
27.6831,54.0108,10.55882353
27.6814,54.0132,17.51219512
27.6814,54.0132,19.14666667
27.6756,53.9577,17.95
27.6889,53.8712,21.82370821
27.697147,53.844676,20.51428571
27.613,53.8641,20.51428571
27.560223,53.846545,15.95555556
27.4753,53.87,23.16129032
27.4389,53.8613,21.75757576
27.4489,53.8502,21.75757576
27.5842,53.9078,17.13603819
27.7172,53.9509,16.31818182
27.7185,53.9445,16.69767442
27.6272,53.9473,22.4375
27.6349,53.9209,16.69767442
27.6063,53.9597,21.75757576
27.4548,53.919,15.95555556
27.4419,53.9041,14.36
27.421442,53.924245,17.95
27.4248,53.9267,17.95
27.443882,53.877608,15.95555556
27.426,53.9127,16.69767442
27.4587,53.9058,15.60869565
27.4259,53.8899,15.95555556
27.464,53.9189,17.95
27.4512,53.8951,21.75757576
27.671542,53.991253,17.30232558
27.6728,53.962,23.25
27.6725,53.9594,29.76
27.4463,53.8553,17.22222222
27.6741,53.9301,14.58823529
27.6123,53.9264,21.25714286
27.5902,53.9119,23.61904762
27.5927,53.9087,21.88235294
27.583563,53.920871,22.54545455
27.4903,53.9043,22.52497729
30.190732,55.19471,18.6
27.5391,53.903,19.92105263
27.6742,53.9624,19.175
27.464114,53.918035,15.97916667
27.537,53.9114,23.24242424
27.4962,53.9306,20.61827957
27.667446,53.95371,20.26315789
27.678,54.0144,22.25433526
27.6829,54.0134,20.81081081
27.6829,54.0134,20.58823529
27.6815,54.0119,20.26315789
27.665191,53.960428,30.43478261
27.6659,53.9623,17.90697674
27.53,53.8229,19.25
27.6684,53.9634,19.25
27.5216,53.822,19.25
27.674767,53.954648,17.90697674
28.747562,55.497577,16.38297872
27.6268,53.8671,18.33333333
27.6254,53.8591,17.11111111
27.567,53.862,17.90697674
27.5713,53.8616,20.26315789
27.6151,53.8583,19.74358974
27.5607,53.8438,21.38888889
27.5853,53.8659,21.50837989
27.4827,53.8735,17.11111111
27.5207,53.8882,16.38297872
27.4858,53.8674,17.99065421
27.4715,53.8692,23.33333333
27.5232,53.8953,25.24590164
27.4849,53.8456,17.11111111
27.5603,53.8793,23.33333333
27.5517,53.8687,25.66666667
27.5552,53.8701,18.2464455
27.50592,53.844186,24.83870968
27.5027,53.8406,24.51448583
